Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-21 15:07:00,215.6839,215.6839,215.6573,215.6573,31726
2018-08-21 15:06:00,215.5100,215.7100,215.4700,215.7000,53856
2018-08-21 15:05:00,215.5200,215.5210,215.4300,215.4600,46498
2018-08-21 15:04:00,215.5700,215.5700,215.5200,215.5402,24643
2018-08-21 15:03:00,215.6200,215.6200,215.5200,215.5712,34456
2018-08-21 15:02:00,215.6200,215.6200,215.5175,215.5700,45410
2018-08-21 15:01:00,215.5232,215.6500,215.5232,215.6200,34402
2018-08-21 15:00:00,215.5600,215.5600,215.4200,215.4900,45052
2018-08-21 14:59:00,215.4650,215.5900,215.4650,215.5700,60999
2018-08-21 14:58:00,215.5000,215.5100,215.4400,215.4400,48064
2018-08-21 14:57:00,215.5500,215.6000,215.4500,215.5001,60472
2018-08-21 14:56:00,215.4100,215.5500,215.4100,215.5400,68622
2018-08-21 14:55:00,215.3700,215.4000,215.3100,215.4000,51332
2018-08-21 14:54:00,215.3400,215.3644,215.2700,215.3600,46832
2018-08-21 14:53:00,215.4300,215.4300,215.3100,215.3600,77595
2018-08-21 14:52:00,215.7000,215.7201,215.4031,215.4200,166598
2018-08-21 14:51:00,215.7300,215.7300,215.6400,215.6700,54881
2018-08-21 14:50:00,215.7400,215.7900,215.7300,215.7300,39061
2018-08-21 14:49:00,215.9400,215.9400,215.7200,215.7300,97605
2018-08-21 14:48:00,216.0700,216.0800,215.9550,215.9550,79568
2018-08-21 14:47:00,216.0300,216.0850,216.0300,216.0500,28439
2018-08-21 14:46:00,216.0600,216.0600,216.0400,216.0400,23430
2018-08-21 14:45:00,216.0200,216.0899,216.0100,216.0852,35659
2018-08-21 14:44:00,216.1200,216.1280,216.0200,216.0399,23691
2018-08-21 14:43:00,216.2100,216.2100,216.1450,216.1450,19271
2018-08-21 14:42:00,216.2300,216.2300,216.2000,216.2020,37592
2018-08-21 14:41:00,216.1710,216.2400,216.1700,216.2400,22752
2018-08-21 14:40:00,216.1200,216.1800,216.1200,216.1800,36249
2018-08-21 14:39:00,216.1900,216.1900,216.1600,216.1600,22615
2018-08-21 14:38:00,216.1400,216.1950,216.1400,216.1950,21714
2018-08-21 14:37:00,216.1100,216.1200,216.0401,216.1200,28464
2018-08-21 14:36:00,216.0900,216.1100,216.0700,216.1000,27121
2018-08-21 14:35:00,216.1500,216.1500,216.0800,216.0900,38985
2018-08-21 14:34:00,216.1500,216.2000,216.1300,216.1801,40946
2018-08-21 14:33:00,216.1251,216.1880,216.1132,216.1400,27450
2018-08-21 14:32:00,216.2000,216.2000,216.1400,216.1400,34951
2018-08-21 14:31:00,216.2000,216.2500,216.1800,216.2100,31792
2018-08-21 14:30:00,216.3900,216.3900,216.1500,216.1742,66565
2018-08-21 14:29:00,216.4399,216.4700,216.3900,216.3900,18974
2018-08-21 14:28:00,216.4200,216.4200,216.4000,216.4100,11192
2018-08-21 14:27:00,216.4000,216.4700,216.4000,216.4318,33632
2018-08-21 14:26:00,216.3850,216.3850,216.3542,216.3800,32777
2018-08-21 14:25:00,216.4100,216.4400,216.3800,216.3800,20652
2018-08-21 14:24:00,216.3300,216.4200,216.3200,216.4200,23513
2018-08-21 14:23:00,216.2850,216.3600,216.2850,216.3550,23390
2018-08-21 14:22:00,216.2600,216.2800,216.2200,216.2800,31257
2018-08-21 14:21:00,216.2809,216.2809,216.2700,216.2700,9722
2018-08-21 14:20:00,216.3200,216.3300,216.2700,216.2700,28577
2018-08-21 14:19:00,216.3000,216.3000,216.2799,216.2900,17162
2018-08-21 14:18:00,216.4000,216.4000,216.2900,216.2900,21342
2018-08-21 14:17:00,216.2500,216.4100,216.2500,216.4000,45947
2018-08-21 14:16:00,216.3400,216.3400,216.2701,216.2701,29055
2018-08-21 14:15:00,216.3359,216.3500,216.3359,216.3450,51385
2018-08-21 14:14:00,216.3250,216.3350,216.2600,216.3000,36039
2018-08-21 14:13:00,216.3400,216.3500,216.3200,216.3400,41505
