Name,Value.1. open,Value.2. high,Value.3. low,Value.4. close,Value.5. volume
2018-08-30 15:59:00,225.0800,225.2000,225.0000,225.0000,511118
2018-08-30 15:58:00,225.1500,225.1800,225.0200,225.0700,241930
2018-08-30 15:57:00,225.1600,225.1700,225.0900,225.1400,172603
2018-08-30 15:56:00,225.1200,225.1762,225.1000,225.1724,144911
2018-08-30 15:55:00,225.0900,225.2000,225.0811,225.1300,172578
2018-08-30 15:54:00,224.9500,225.1700,224.9300,225.0800,124751
2018-08-30 15:53:00,225.0700,225.0750,224.9600,224.9700,101649
2018-08-30 15:52:00,224.9900,225.0799,224.9400,225.0759,118277
2018-08-30 15:51:00,224.9100,225.0200,224.9100,225.0000,98077
2018-08-30 15:50:00,225.0500,225.1000,224.8000,224.9300,161511
2018-08-30 15:49:00,225.1300,225.1900,225.0300,225.0700,112894
2018-08-30 15:48:00,225.0700,225.1927,225.0700,225.1248,97046
2018-08-30 15:47:00,225.0000,225.0900,224.9600,225.0800,75621
2018-08-30 15:46:00,224.8100,225.0300,224.7400,225.0100,122719
2018-08-30 15:45:00,224.6400,224.8033,224.6200,224.7903,107205
2018-08-30 15:44:00,224.7623,224.7800,224.6300,224.6800,81121
2018-08-30 15:43:00,224.7703,224.8800,224.7600,224.7900,78072
2018-08-30 15:42:00,224.6690,224.8700,224.6690,224.7600,106297
2018-08-30 15:41:00,224.8500,224.8500,224.6200,224.6350,0
2018-08-30 15:40:00,224.9200,224.9200,224.7800,224.8464,67784
2018-08-30 15:39:00,224.8300,224.9000,224.7881,224.8900,103435
2018-08-30 15:38:00,224.9197,224.9197,224.7510,224.8300,138634
2018-08-30 15:37:00,225.0500,225.1400,224.8900,224.8900,122240
2018-08-30 15:36:00,225.1800,225.2700,225.1000,225.1000,82282
2018-08-30 15:35:00,225.1490,225.2100,225.1010,225.1762,81456
2018-08-30 15:34:00,225.1500,225.1700,225.0700,225.1400,97991
2018-08-30 15:33:00,225.2400,225.3831,225.1000,225.1200,107617
2018-08-30 15:32:00,225.3900,225.3900,225.1700,225.2100,129438
2018-08-30 15:31:00,225.3604,225.4900,225.3500,225.3948,99817
2018-08-30 15:30:00,225.3600,225.4000,225.3400,225.3500,83950
2018-08-30 15:29:00,225.3100,225.4100,225.3100,225.3600,99132
2018-08-30 15:28:00,225.3000,225.3900,225.2300,225.3200,121171
2018-08-30 15:27:00,225.0300,225.2600,225.0143,225.2600,84496
2018-08-30 15:26:00,225.1900,225.2300,224.9200,224.9997,140326
2018-08-30 15:25:00,225.1300,225.2500,225.0500,225.1700,126066
2018-08-30 15:24:00,224.8400,225.1700,224.8200,225.1600,182929
2018-08-30 15:23:00,224.7000,224.9550,224.7000,224.8200,150942
2018-08-30 15:22:00,224.5500,224.7400,224.4950,224.7400,88876
2018-08-30 15:21:00,224.4200,224.6100,224.4003,224.5400,78706
2018-08-30 15:20:00,224.7300,224.7700,224.4100,224.4100,161345
2018-08-30 15:19:00,224.5102,224.7400,224.5102,224.7100,146619
2018-08-30 15:18:00,224.4400,224.5400,224.3676,224.4900,147443
2018-08-30 15:17:00,224.2405,224.4800,224.2100,224.4600,196825
2018-08-30 15:16:00,224.0800,224.3200,224.0500,224.2886,198404
2018-08-30 15:15:00,224.0200,224.1400,223.8300,224.0800,317074
2018-08-30 15:14:00,224.2400,224.3000,224.0200,224.0400,160733
2018-08-30 15:13:00,224.4000,224.4300,224.2200,224.2350,119289
2018-08-30 15:12:00,224.2100,224.4246,224.1000,224.4246,193913
2018-08-30 15:11:00,224.2076,224.3300,224.0900,224.2089,186232
2018-08-30 15:10:00,224.5100,224.5100,224.2000,224.2000,156998
2018-08-30 15:09:00,224.4900,224.6905,224.4800,224.5400,111306
2018-08-30 15:08:00,224.6000,224.6300,224.2300,224.4900,264888
2018-08-30 15:07:00,224.8000,224.8200,224.6249,224.6249,113376
2018-08-30 15:06:00,224.6900,224.9300,224.6900,224.8063,213667
2018-08-30 15:05:00,224.6400,224.7700,224.4800,224.6800,183061
2018-08-30 15:04:00,224.4910,224.7000,224.4600,224.6201,249093
2018-08-30 15:03:00,224.6033,224.7200,224.4500,224.5300,159998
2018-08-30 15:02:00,224.8500,224.8600,224.5600,224.6200,144104
2018-08-30 15:01:00,224.9700,224.9700,224.7000,224.8350,222940
2018-08-30 15:00:00,225.1100,225.1300,224.8600,224.9500,211886
