minute,open-aapl,high-aapl,low-aapl,close-aapl,volume-aapl,reach_sum,virality_mean,influence_score_sum,followers_mean,like_count,comment_count,share_count,tweet_count,love_count,retweet_count,positive_sentiment,negative_sentiment,score,open-apc,high-apc,low-apc,close-apc,volume-apc
2018-08-20 00:00:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:01:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:02:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:03:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:04:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:05:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:06:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:07:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:08:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:09:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:10:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:11:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:12:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:13:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:14:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:15:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:16:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:17:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:18:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:19:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:20:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
2018-08-20 00:21:00,216.5,216.68,216.4,216.68,449019.0,,,,,,,,,,,,,,186.0,186.4,186.0,186.4,37.0
